codcar,carrera
681,"SEMINARIO REGIONAL SOBRE INVESTIGACION CRIMINAL: CIBERCRIMEN, NARCOCRIMINALIDAD Y ANALISIS CRIMINAL"
680,Diplomatura en Microfinanzas
4027,Cursos de Verano para la Diplomatura en Aplicación de Recursos Tecnológicos
4028,Actualización docente en competencia Moodle.
4029,Diseño de materiales para e-learning.
4030, Producciones audiovisuales.
1004,DIPLOMATURA EN JUSTICIA RESTAURATIVA
1001,CURSO DE INGRESO PARA LAS CARRERAS DE LA ESCUELA UNIVERSITARIA EN CIENCIAS DE LA SALUD
1002,DIPLOMATURA UNIVERSITARIA EN METODOS ALTERNATIVOS DE RESOLUCIÓN DE CONFLICTOS
179,Licenciatura en Diseño de Interiores
180,Licenciatura en Historia - Ciclo de Complementación Curricular
181,Especialización en Gestión de las Tecnologías de la Información
1013,Diplomatura en Terapia Neural
4031,Diplomatura en Trastornos del Espectro Autista
1011,Curso de Inglés para Negocios
1010,Cursos Regulares Anuales de Inglés
1012,Curso de ECLUB
4032,Cursos Regulares Anuales
1017,El Apocalipsis y su mensaje
1016,Diplomatura en Gestión e Innovación Estratégica
1018,Diplomatura en Técnicas de Tasación Inmuebles
1019,Diplomatura en Análisis Forense Digital
1020,Curso Ajuste por Inflación Impositiva
1022,Diplomatura Universitaria en Aplicación de Recursos Tecnológicos para la Educación Virtual
1023,Creación y gestión de aulas virtuales
1024,Actualización docente en competencias Moodle
1025,Evaluación de aprendizajes en aula virtual
1026,Diseño de materiales para e-learning 
1027,Videoconferencias y webinarios como herramientas educativas
1028,Producciones audiovisuales
1029,Uso pedagógico de narrativas digitales o storytelling
1030,Flipped classroom
1031,Gestión del aula virtual para trabajos colaborativos en Moodle
1015,Diplomatura Universitaria En Procedimiento Fiscal y Provicional
182,Especialización en Industria y Transformación Digital
352,Especialización en Docencia Universitaria
1006,SPANISH AS A SECOND A FOREIGN LANGUAGE (ELEMENTARY LEVEL)
1007,SPANISH AS A SECOND A FOREIGN LANGUAGE (ELEMENTARY LEVEL) INTERNATIONAL
1032,Diplomatura Univ. en Seguridad Informática para Entornos de Trabajo Virtual
1033,Diplomatura en Derecho Laboral Práctico con código
973,La ESI frente a problemáticas actuales
1035,Diplomatura Universitaria en Pericias Informáticas
4033,Aprendizaje remoto de Emergencia
1036,Diplomatura Universitaria en Aplicación de Recursos Tecnológicos para Educación Virtual - UCB
1037,Alfabetización en TIC: Curación de Contenidos aplicada a la Educación
1039,Desarrollo Emocional y Autoestima en el Nivel Inicial I
1040,Educación Afectivo Sexual para catequistas y agentes pastorales
1041,Diploma en Diseño Didáctico Instruccional para E-Learning
956,Diplomatura en Bioseguridad
1042,Posgrado en Tratamiento Neuropsicopedagógico
1046,Diplomatura en Prevención de adicciones y VIH / Sida en el ámbito laboral
1049,"CURSO: ""INVESTIGACIÓN Y BUENAS PRÁCTICAS CLÍNICAS"""
1048,Diplomatura Universitaria en Gestión de Activos y Mantenimiento
1047,"Diplomatura De la prevención a la protección en abuso sexual contra niños , niñas y adolescentes"
1059,Curso de Actualización Docente: Herramientas y recursos para atender la diversidad en el aula
1002,Diplomatura Universitaria en Métodos Alternativos de Resolución de Conflictos
1057,CURSOS INTENSIVOS DE ALEMÁN
1056,CURSOS INTENSIVOS DE CHINO
1054,CURSOS INTENSIVOS DE FRANCES
1050,CURSOS INTENSIVOS DE INGLES A1
1058,CURSO INTENSIVO DE INGLES PARA NEGOCIOS
1055,CURSOS INTENSIVOS DE PORTUGUÉS
1053,CURSO DE PREPARACIÓN EN IELTS
1052,CURSO DE PREPARACIÓN EN TOEFL
1051,CURSO DE PREPARACIÓN EN GESE
1060,La Gestión de Activos Físicos y de Mantenimiento
4034,Cursos con Fines Específicos
979,"Compliance Práctico, Prevención de Lavado de Activos y Criptoactivos"
1070,Diplomatura en Knowmads: Nómada del Conocimiento
1061,Ingeniería de Confiabilidad
1073,Deconstruir la Democracia. Entre soberanía y justicia más allá de la pandemia
1071,Psicología Deportiva
1072,Historia de Psicoanálisis en Argentina
1074,Diplomatura en Derecho Humanitario Internacional
1076,Diplomatura en Negociación Colaborativa para la Sustentabilidad
781,Diplomatura en Inteligencia Estratégica y Seguridad Pública
1075,Ciclo Virtual de Actualización en Criminalística
1086,Biografía del Cardenal Newman 
133,Licenciatura en Administración Agropecuaria
1078,Desarrollo Infantil desde el paradigma de derechos
1079,El Diseño universal para el Aprendizaje (DUA) una alternativa para educar en la Diversidad EPJA
1094,Curso de Sumario Administrativo y Régimen Disciplinario del Empleado Público
184,Especialización en Administración de Base de Datos
1090,Límites de la Democracia y sus Respuestas a la Pandemia
134,Especialización en Inteligencia de Negocios
183,Especialización en Gestión de Procesos de Negocios para Empresas Tecnológicas
98,Especialización en Dirección de Recursos Humanos
46,Licenciatura en Criminalística
138,Licenciatura en Higiene y Seguridad en el Trabajo
240,Profesorado en Campo Disciplinar según Titulación de Base
53,Formación Docente para Profesionales
332,Licenciatura en Trabajo Social - Ciclo Complementación Curricular
332,Licenciatura en Trabajo Social - Ciclo Complementación Curricular
16,Abogacía
1095,Inteligencia Artificial: El futuro de la automatización
185,Licenciatura en Gestión Eficiente de la Energía
1088,Foro Argentino de Turismo Sostenible
1039,Desarrollo Emocional y Autoestima en el Nivel Inicial I
179,Licenciatura en Diseño de Interiores
186,Licenciatura en Entrenamiento Deportivo - Ciclo de Complementación Curricular
187,Licenciatura en Lenguajes Expresivos - Ciclo de Complementación Curricular
188,Maestría en Entrenamiento y Nutrición Deportiva
353,Maestría en Gestión Estratégica de la Comunicación
1097,Diplomatura en Políticas de Seguridad Ciudadana
1098,Curso de Alimentación Basada en Plantas y Vegetarianismo 
1099,Entrenar el Verdadero SPRINT hacia R.S.A + R.COD + R.H.I.E
1100,Curso RAIR (Resistencia a la Alta Intensidad Repetida)
1101,Método Integral Físico Técnico Táctico con “JUEGOS REDUCIDOS”
1102,Evidencia Científica en el Entrenamiento de la Fuerza en Niños y Adultos Mayores
4035,Cursos de Preparación de Exámenes Internacionales
189,Especialización en Big Data y Análisis de Datos Estratégicos
355,Escribanía
1110,Pasantía Internacional
1112,Diplomatura en Salud Perinatal
1103,Entrenamiento Funcional ¿Cómo crear una clase?
1104,Curso Entrenamiento Deportivo del Core
1105,Introducción a la Nutrición Deportiva y Combustible en el Deportista
1106,La Preparación Físico-Deportiva en el Cestoball
1107,Edición Profesional de Vídeo para Entrenadores
1114,Curso de Postgrado en Derecho Procesal para Peritos
1113,Diplomatura en Comunicación Política
1108,Diplomatura en Gestión de Ciudades e Innovación Pública
1109,Diplomatura Universitario en Formación y Educación Judicial
1080,Curso La Acción Estratégica en el Aula de la Educacion para Jovenes y Adultos
1062,Planificación y Programación del Mantenimiento
357,Maestría en Derecho del Trabajo
1118,Nuevas Perspectivas en la Enseñanza de la Alfabetización Inicial
1089,Diplomatura en Prácticas Culturales en el Tiempo Libre
1116,Diplomatura en Procedimiento Fiscal y Previsional 
246,Especialización en Diseño Arquitectónico Bioambiental
1117,Diplomatura en Comunicación Institucional Orientada a Organizaciones Deportivas
956,Diplomatura en Bioseguridad
1116,Diplomatura en Procedimiento Fiscal y Previsional 
